Lab No. ,pH,EC,OC,P,K,Ca,Mg,S,Zn,Fe,Mn,Cu,Leaf yield Mt/ha/yr,,,
94,5.7,0.17,1.26,5,19,1.9,0.2,10.62,0.228,16.2,2.225,1.701,55.23,,,
95,5.8,0.11,1.26,17,86,5,0.4,12.7,0.248,8.95,4.462,0.619,55.21,,,
96,5.4,0.6,1.26,6,21,2.1,0.9,3.54,0.413,13.25,2.575,0.622,54.97,,,
97,5.5,0.7,1.01,6,54,3.9,0.3,13.4,0.165,12.162,0.537,0.407,55.21,,,
98,5.4,0.11,1.26,17,26,1,0.7,12,0.602,8.85,0.412,3.524,50.67,,,
99,5.8,0.12,1.38,8,26,2.3,0.2,14.1,0.149,6.6,0.725,0.551,55.36,,,
100,6.1,0.13,1.23,10,69,3.7,0.7,19.8,0.315,9.8,3.762,1.115,55.42,,,
101,6,0.11,0.32,12,56,1.1,1.2,14.1,0.438,18.012,4.487,2.196,54.98,,,
102,6,0.6,0.76,16,30,2.1,0.4,9.2,0.204,9.687,1.575,0.908,55.32,,,
103,5.6,0.08,0.87,16,32,2,0.7,14.8,0.382,6.687,0.887,1.094,54.87,,,
104,5.6,0.11,1.51,5,64,1.4,0.9,19.8,0.5,14.9,1.912,0.445,54.96,,,
105,5.6,0.09,1.21,9,52,1,1,9.2,0.142,5.562,2.75,0.578,55.12,,,
106,5.6,0.11,1.38,5,69,1.3,0.1,12,0.171,9.55,1.3,0.406,54.88,,,
107,5.5,0.12,1.13,7,52,1.9,1.1,16.9,0.184,3.175,1.337,0.239,51.12,,,
108,5.2,0.11,0.87,6,65,3,0.9,4.2,1.192,66.837,4.175,0.081,48.67,,,
109,5.6,0.12,1.13,12,58,1.47,0.1,7,1.543,12.012,1.55,0.445,53.98,,,
110,5.5,0.13,0.87,14,30,0.9,0.8,9.2,0.166,3.437,1.362,0.386,50.69,,,
111,5.4,0.11,0.87,17,31,1.71,0.8,16.2,1.04,64.225,4.212,2.122,50.36,,,
112,5.2,0.1,1.02,5,161,2.7,0.7,13.4,0.306,12.937,4.637,0.1348,49.87,,,
113,5.8,0.16,0.87,5,95,1.2,0.9,2.83,0.186,4.037,1.562,0.631,55.32,,,
114,6.1,0.17,1.17,3,172,2.9,1.2,0.7,0.236,7.912,2,0.738,55.36,,,
115,5.8,0.22,0.87,5,148,3.2,1,5.66,0.222,9.937,2.85,0.393,54.98,,,
116,5.6,0.18,0.58,17,113,2.7,1,17.7,0.261,17.175,1.975,0.634,53.24,,,
117,5.8,0.11,0.58,5,90,1.9,0.6,8.49,0.158,8.713,2.575,2.037,54.69,,,
118,5.8,0.1,0.83,6,138,2.3,0.8,11.32,0.14,18.087,1.725,1.568,54.87,,,
119,5.3,0.1,0.58,6,112,3.3,1.3,19.8,0.278,12.85,4.575,1.186,50.23,,,
120,5.3,0.06,1.02,9,163,3,0.6,8.49,0.165,11.85,3.362,1.083,49.87,,,
121,5.8,0.07,0.73,6,112,2.1,0.4,1.41,0.223,20.45,0.937,1.708,55.23,,,
122,5.8,0.16,0.24,9,110,1.3,0.7,16.2,0.471,1.212,1.462,1.703,54.96,,,
123,6.1,0.18,0.58,6,58,2.6,1.1,9.2,0.693,28,12.862,1.331,55.12,,,
124,5.8,0.22,0.29,5,118,2,0.8,47.4,0.656,32.625,7.4,1.14,52.69,,,
125,5.3,0.2,1.6,7,95,2.2,0.8,38.2,0.149,8.562,6.762,0.053,49.32,,,
126,5.8,0.16,0.67,5,65,3.3,0.3,7.08,0.852,0.525,7.062,0.672,54.97,,,
127,5.8,0.14,0.43,6,93,2.5,0.1,21.9,0.098,5.537,1.262,0.77,55.12,,,
128,6.1,0.13,0.79,9,179,2.8,0.2,21.2,0.282,2.65,,0.806,55.14,,,
129,6,0.12,1.17,7,189,2.9,2.6,10.62,0.747,8.2,9.662,1.062,55.18,,,
130,5.8,0.11,0.58,8,163,2.9,0.9,11.3,0.103,7.287,12.6,2.918,54.56,,,
131,5.8,0.1,2.04,7,135,5.8,3.2,13.4,1.051,24.775,27.925,0.525,54.37,,,
132,5.1,0.11,1.02,10,69,2.7,0.8,14.6,0.93,1.262,4.3,0.607,49.86,,,
133,6.1,0.16,1.02,9,77,1.3,0.2,8.49,0.896,9.125,3.437,0.055,54.36,,,
